dataset,epochs,validation,learnrate,l2norm,hidden,bases,dropout,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc
aifb,50,False,0.01,0.1,8,32,0.8,0.17923768,0.9642857142857143,0.17923768,0.9642857142857143,0.32188284,0.9166666666666666
aifb,50,False,0.01,0.1,8,32,0.9,0.35818782,0.9071428571428571,0.35818782,0.9071428571428571,0.48951933,0.8888888888888888
aifb,50,False,0.01,0.1,16,4,0.2,0.20959459,0.95,0.20959459,0.95,0.37806302,0.8611111111111112
aifb,50,False,0.01,0.1,16,4,0.5,0.23615341,0.9285714285714286,0.23615341,0.9285714285714286,0.34678063,0.8888888888888888
aifb,50,False,0.01,0.1,16,4,0.8,0.34693286,0.9357142857142857,0.34693286,0.9357142857142857,0.44519547,0.9166666666666666
aifb,50,False,0.01,0.1,16,4,0.9,0.4674309,0.9285714285714286,0.4674309,0.9285714285714286,0.61945474,0.8888888888888888
aifb,50,False,0.01,0.1,16,8,0.2,0.2095969,0.9357142857142857,0.2095969,0.9357142857142857,0.32296816,0.9166666666666666
aifb,50,False,0.01,0.1,16,8,0.5,0.18933368,0.9571428571428572,0.18933368,0.9571428571428572,0.31011477,0.9166666666666666
aifb,50,False,0.01,0.1,16,8,0.8,0.27014536,0.9142857142857143,0.27014536,0.9142857142857143,0.42147976,0.8333333333333334
aifb,50,False,0.01,0.1,16,8,0.9,0.33121228,0.9214285714285714,0.33121228,0.9214285714285714,0.4526788,0.8888888888888888
aifb,50,False,0.01,0.1,16,16,0.2,0.1496544,0.9571428571428572,0.1496544,0.9571428571428572,0.29206216,0.9166666666666666
aifb,50,False,0.01,0.1,16,16,0.5,0.1543763,0.95,0.1543763,0.95,0.27323514,0.9166666666666666
aifb,50,False,0.01,0.1,16,16,0.8,0.2681081,0.8785714285714286,0.2681081,0.8785714285714286,0.445659,0.8333333333333334
aifb,50,False,0.01,0.1,16,16,0.9,0.28483528,0.9285714285714286,0.28483528,0.9285714285714286,0.4266398,0.8611111111111112
aifb,50,False,0.01,0.1,16,32,0.2,0.09174456,0.9785714285714285,0.09174456,0.9785714285714285,0.28150097,0.9166666666666666
aifb,50,False,0.01,0.1,16,32,0.5,0.075715095,0.9714285714285714,0.075715095,0.9714285714285714,0.304039,0.8888888888888888
aifb,50,False,0.01,0.1,16,32,0.8,0.13308038,0.9571428571428572,0.13308038,0.9571428571428572,0.29009616,0.8888888888888888
aifb,50,False,0.01,0.1,16,32,0.9,0.33233404,0.9071428571428571,0.33233404,0.9071428571428571,0.49818584,0.8611111111111112
aifb,50,False,0.01,0.1,32,4,0.2,0.19491172,0.9428571428571428,0.19491172,0.9428571428571428,0.3841914,0.8333333333333334
aifb,50,False,0.01,0.1,32,4,0.5,0.15971021,0.9714285714285714,0.15971021,0.9714285714285714,0.39467278,0.8333333333333334
aifb,50,False,0.01,0.1,32,4,0.8,0.23270893,0.9357142857142857,0.23270893,0.9357142857142857,0.33856538,0.9166666666666666
aifb,50,False,0.01,0.1,32,4,0.9,0.2974297,0.9357142857142857,0.2974297,0.9357142857142857,0.41071308,0.9166666666666666
aifb,50,False,0.01,0.1,32,8,0.2,0.11463519,0.9785714285714285,0.11463519,0.9785714285714285,0.2947739,0.9166666666666666
aifb,50,False,0.01,0.1,32,8,0.5,0.11332241,0.9857142857142858,0.11332241,0.9857142857142858,0.25713772,0.9166666666666666
aifb,50,False,0.01,0.1,32,8,0.8,0.25484347,0.9142857142857143,0.25484347,0.9142857142857143,0.39282715,0.8611111111111112
aifb,50,False,0.01,0.1,32,8,0.9,0.26892635,0.9357142857142857,0.26892635,0.9357142857142857,0.38613614,0.9166666666666666
aifb,50,False,0.01,0.1,32,16,0.2,0.06689477,0.9857142857142858,0.06689477,0.9857142857142858,0.2454177,0.9166666666666666
aifb,50,False,0.01,0.1,32,16,0.5,0.11449269,0.9714285714285714,0.11449269,0.9714285714285714,0.25826824,0.9166666666666666
aifb,50,False,0.01,0.1,32,16,0.8,0.12404238,0.9642857142857143,0.12404238,0.9642857142857143,0.26304916,0.9166666666666666
aifb,50,False,0.01,0.1,32,16,0.9,0.17304383,0.9642857142857143,0.17304383,0.9642857142857143,0.3354153,0.8888888888888888
aifb,50,False,0.01,0.1,32,32,0.2,0.056449044,1.0,0.056449044,1.0,0.27317086,0.9166666666666666
aifb,50,False,0.01,0.1,32,32,0.5,0.060382802,1.0,0.060382802,1.0,0.2990456,0.9166666666666666
aifb,50,False,0.01,0.1,32,32,0.8,0.13951351,0.95,0.13951351,0.95,0.3200979,0.8888888888888888
aifb,50,False,0.01,0.1,32,32,0.9,0.1511039,0.9642857142857143,0.1511039,0.9642857142857143,0.32064047,0.9166666666666666
